Date,Ouverture,Plus Haut,Plus Bas,Ferme,Clôture Ajustée,Volume
30 juin 2020,"90,02","91,50","90,00","91,20","88,87",140 223 200
29 juin 2020,"88,31","90,54","87,82","90,44","88,13",130 646 000
26 juin 2020,"91,10","91,33","88,25","88,41","86,15",205 256 800
25 juin 2020,"90,18","91,25","89,39","91,21","88,88",137 522 400
24 juin 2020,"91,25","92,20","89,63","90,01","87,71",192 623 200
23 juin 2020,"91,00","93,10","90,57","91,63","89,29",212 155 600
22 juin 2020,"87,83","89,86","87,79","89,72","87,42",135 445 200
19 juin 2020,"88,66","89,14","86,29","87,43","85,19",264 476 000
18 juin 2020,"87,85","88,36","87,31","87,93","85,68",96 820 400
17 juin 2020,"88,79","88,85","87,77","87,90","85,65",114 406 400
16 juin 2020,"87,86","88,30","86,18","88,02","85,77",165 428 800
15 juin 2020,"83,31","86,42","83,14","85,75","83,55",138 808 800
12 juin 2020,"86,18","86,95","83,56","84,70","82,53",200 146 000
11 juin 2020,"87,33","87,76","83,87","83,97","81,83",201 662 400
10 juin 2020,"86,97","88,69","86,52","88,21","85,95",166 651 600
9 juin 2020,"83,04","86,40","83,00","86,00","83,80",147 712 400
8 juin 2020,"82,56","83,40","81,83","83,36","81,23",95 654 400
5 juin 2020,"80,84","82,94","80,81","82,88","80,75",137 250 400
4 juin 2020,"81,10","81,40","80,19","80,58","78,52",87 560 400
3 juin 2020,"81,17","81,55","80,57","81,28","79,20",104 491 200
2 juin 2020,"80,19","80,86","79,73","80,83","78,77",87 642 800
1 juin 2020,"79,44","80,59","79,30","80,46","78,40",80 791 200
29 mai 2020,"79,81","80,29","79,12","79,49","77,45",153 532 400
28 mai 2020,"79,19","80,86","78,91","79,56","77,53",133 560 800
27 mai 2020,"79,04","79,68","78,27","79,53","77,49",112 945 200
26 mai 2020,"80,88","81,06","79,13","79,18","77,16",125 522 000
22 mai 2020,"78,94","79,81","78,84","79,72","77,68",81 803 200
21 mai 2020,"79,67","80,22","78,97","79,21","77,19",102 688 800
20 mai 2020,"79,17","79,88","79,13","79,81","77,77",111 504 800
19 mai 2020,"78,76","79,63","78,25","78,29","76,28",101 729 600
18 mai 2020,"78,29","79,13","77,58","78,74","76,73",135 178 400
15 mai 2020,"75,09","76,97","75,05","76,93","74,96",166 348 400
14 mai 2020,"76,13","77,45","75,38","77,39","75,41",158 929 200
13 mai 2020,"78,04","78,99","75,80","76,91","74,94",200 622 400
12 mai 2020,"79,46","79,92","77,73","77,85","75,86",162 301 200
11 mai 2020,"77,03","79,26","76,81","78,75","76,74",145 946 400
8 mai 2020,"76,41","77,59","76,07","77,53","75,55",133 838 400
7 mai 2020,"75,81","76,29","75,49","75,93","73,79",115 215 200
6 mai 2020,"75,11","75,81","74,72","75,16","73,04",142 333 600
5 mai 2020,"73,76","75,25","73,61","74,39","72,29",147 751 200
4 mai 2020,"72,29","73,42","71,58","73,29","71,22",133 568 000
1 mai 2020,"71,56","74,75","71,46","72,27","70,23",240 616 800
30 avr. 2020,"72,49","73,63","72,09","73,45","71,38",183 064 000
29 avr. 2020,"71,18","72,42","70,97","71,93","69,90",137 280 800
28 avr. 2020,"71,27","71,46","69,55","69,64","67,68",112 004 800
27 avr. 2020,"70,45","71,14","69,99","70,79","68,79",117 087 600
24 avr. 2020,"69,30","70,75","69,25","70,74","68,75",126 161 200
23 avr. 2020,"68,97","70,44","68,72","68,76","66,82",124 814 400
22 avr. 2020,"68,40","69,47","68,05","69,03","67,08",116 862 400
21 avr. 2020,"69,07","69,31","66,36","67,09","65,20",180 991 600
20 avr. 2020,"69,49","70,42","69,21","69,23","67,28",130 015 200
17 avr. 2020,"71,17","71,74","69,21","70,70","68,71",215 250 000
16 avr. 2020,"71,85","72,05","70,59","71,67","69,65",157 125 200
15 avr. 2020,"70,60","71,58","70,16","71,11","69,10",131 154 400
14 avr. 2020,"70,00","72,06","69,51","71,76","69,74",194 994 800
13 avr. 2020,"67,08","68,43","66,46","68,31","66,38",131 022 800
9 avr. 2020,"67,18","67,52","66,18","67,00","65,11",161 834 800
8 avr. 2020,"65,68","66,84","65,31","66,52","64,64",168 895 200
7 avr. 2020,"67,70","67,93","64,75","64,86","63,03",202 887 200
6 avr. 2020,"62,72","65,78","62,35","65,62","63,77",201 820 400
3 avr. 2020,"60,70","61,42","59,74","60,35","58,65",129 880 000
2 avr. 2020,"60,08","61,29","59,22","61,23","59,50",165 934 000
1 avr. 2020,"61,63","62,18","59,78","60,23","58,53",176 218 400
31 mars 2020,"63,90","65,62","63,00","63,57","61,78",197 002 000
30 mars 2020,"62,69","63,88","62,35","63,70","61,91",167 976 400
27 mars 2020,"63,19","63,97","61,76","61,94","60,19",204 216 800
26 mars 2020,"61,63","64,67","61,59","64,61","62,79",252 087 200
25 mars 2020,"62,69","64,56","61,08","61,38","59,65",303 602 000
24 mars 2020,"59,09","61,92","58,58","61,72","59,98",287 531 200
23 mars 2020,"57,02","57,13","53,15","56,09","54,51",336 752 800
20 mars 2020,"61,79","62,96","57,00","57,31","55,69",401 693 200
19 mars 2020,"61,85","63,21","60,65","61,19","59,47",271 857 200
18 mars 2020,"59,94","62,50","59,28","61,67","59,93",300 233 600
17 mars 2020,"61,88","64,40","59,60","63,22","61,43",324 056 000
16 mars 2020,"60,49","64,77","60,00","60,55","58,84",322 423 600
13 mars 2020,"66,22","69,98","63,24","69,49","67,53",370 732 000
12 mars 2020,"63,99","67,50","62,00","62,06","60,31",418 474 000
11 mars 2020,"69,35","70,31","67,96","68,86","66,91",255 598 800
10 mars 2020,"69,29","71,61","67,34","71,33","69,32",285 290 000
9 mars 2020,"65,94","69,52","65,75","66,54","64,66",286 744 800
6 mars 2020,"70,50","72,71","70,31","72,26","70,22",226 176 800
5 mars 2020,"73,88","74,89","72,85","73,23","71,16",187 572 800
4 mars 2020,"74,11","75,85","73,28","75,68","73,55",219 178 400
3 mars 2020,"75,92","76,00","71,45","72,33","70,29",319 475 600
2 mars 2020,"70,57","75,36","69,43","74,70","72,59",341 397 200
28 févr. 2020,"64,32","69,60","64,09","68,34","66,41",426 510 000
27 févr. 2020,"70,28","71,50","68,24","68,38","66,45",320 605 600
26 févr. 2020,"71,63","74,47","71,63","73,16","71,10",198 054 800
25 févr. 2020,"75,24","75,63","71,53","72,02","69,99",230 673 600
24 févr. 2020,"74,32","76,04","72,31","74,54","72,44",222 195 200
21 févr. 2020,"79,65","80,11","77,63","78,26","76,05",129 554 000
20 févr. 2020,"80,66","81,16","79,55","80,07","77,82",100 566 000
19 févr. 2020,"80,00","81,14","80,00","80,90","78,62",93 984 000
18 févr. 2020,"78,84","79,94","78,65","79,75","77,50",152 531 200
14 févr. 2020,"81,18","81,50","80,71","81,24","78,95",80 113 600
13 févr. 2020,"81,05","81,56","80,84","81,22","78,93",94 747 600
12 févr. 2020,"80,37","81,81","80,37","81,80","79,49",113 730 400
11 févr. 2020,"80,90","80,97","79,68","79,90","77,65",94 323 200
10 févr. 2020,"78,54","80,39","78,46","80,39","78,12",109 348 800
7 févr. 2020,"80,59","80,85","79,50","80,01","77,75",117 684 000
6 févr. 2020,"80,64","81,31","80,07","81,30","78,82",105 425 600
5 févr. 2020,"80,88","81,19","79,74","80,36","77,91",118 826 800
4 févr. 2020,"78,83","79,91","78,41","79,71","77,28",136 616 400
3 févr. 2020,"76,07","78,37","75,56","77,17","74,81",173 788 400
31 janv. 2020,"80,23","80,67","77,07","77,38","75,02",199 588 400
30 janv. 2020,"80,14","81,02","79,69","80,97","78,50",126 743 200
29 janv. 2020,"81,11","81,96","80,35","81,08","78,61",216 229 200
28 janv. 2020,"78,15","79,60","78,05","79,42","77,00",162 234 000
27 janv. 2020,"77,51","77,94","76,22","77,24","74,88",161 940 000
24 janv. 2020,"80,06","80,83","79,38","79,58","77,15",146 537 600
23 janv. 2020,"79,48","79,89","78,91","79,81","77,37",104 472 000
22 janv. 2020,"79,64","80,00","79,33","79,43","77,00",101 832 400
21 janv. 2020,"79,30","79,75","79,00","79,14","76,73",110 843 200
17 janv. 2020,"79,07","79,68","78,75","79,68","77,25",137 816 400
16 janv. 2020,"78,40","78,93","78,02","78,81","76,40",108 829 200
15 janv. 2020,"77,96","78,88","77,39","77,83","75,46",121 923 600
14 janv. 2020,"79,18","79,39","78,04","78,17","75,78",161 954 400
13 janv. 2020,"77,91","79,27","77,79","79,24","76,82",121 532 000
10 janv. 2020,"77,65","78,17","77,06","77,58","75,21",140 644 800
9 janv. 2020,"76,81","77,61","76,55","77,41","75,05",170 108 400
8 janv. 2020,"74,29","76,11","74,29","75,80","73,48",132 079 200
7 janv. 2020,"74,96","75,22","74,37","74,60","72,32",108 872 000
6 janv. 2020,"73,45","74,99","73,19","74,95","72,66",118 387 200
3 janv. 2020,"74,29","75,14","74,13","74,36","72,09",146 322 800
2 janv. 2020,"74,06","75,15","73,80","75,09","72,80",135 480 400
31 déc. 2019,"72,48","73,42","72,38","73,41","71,17",100 805 600
30 déc. 2019,"72,36","73,17","71,31","72,88","70,66",144 114 400
27 déc. 2019,"72,78","73,49","72,03","72,45","70,24",146 266 000
26 déc. 2019,"71,21","72,50","71,18","72,48","70,27",93 121 200
24 déc. 2019,"71,17","71,22","70,73","71,07","68,90",48 478 800
23 déc. 2019,"70,13","71,06","70,09","71,00","68,83",98 572 000
20 déc. 2019,"70,56","70,66","69,64","69,86","67,73",275 978 000
19 déc. 2019,"69,88","70,29","69,74","70,00","67,87",98 369 200
18 déc. 2019,"69,95","70,47","69,78","69,93","67,80",116 028 400
17 déc. 2019,"69,89","70,44","69,70","70,10","67,96",114 158 400
16 déc. 2019,"69,25","70,20","69,25","69,96","67,83",128 186 000
13 déc. 2019,"67,86","68,82","67,73","68,79","66,69",133 587 600
12 déc. 2019,"66,94","68,14","66,83","67,86","65,79",137 310 400
11 déc. 2019,"67,20","67,78","67,13","67,69","65,63",78 756 800
10 déc. 2019,"67,15","67,52","66,46","67,12","65,07",90 420 400
9 déc. 2019,"67,50","67,70","66,23","66,73","64,69",128 042 400
6 déc. 2019,"66,87","67,75","66,82","67,68","65,61",106 075 600
5 déc. 2019,"65,95","66,47","65,68","66,39","64,37",74 424 400
4 déc. 2019,"65,27","65,83","65,17","65,43","63,44",67 181 600
3 déc. 2019,"64,58","64,88","64,07","64,86","62,88",114 430 400
2 déc. 2019,"66,82","67,06","65,86","66,04","64,02",94 487 200
29 nov. 2019,"66,65","67,00","66,47","66,81","64,77",46 617 600
27 nov. 2019,"66,39","67,00","66,33","66,96","64,92",65 235 600
26 nov. 2019,"66,74","66,79","65,63","66,07","64,06",105 207 600
25 nov. 2019,"65,68","66,61","65,63","66,59","64,56",84 020 400
